loc,v(g),n,v,e,lOComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,defects
1.1,1.4,1.3,1.3,1.3,2,1.2,1.2,1.2,1.2,0
1,1,1,1,1,1,1,1,1,1,1
72,7,198,1134.13,23029.1,10,17,36,112,86,1
190,3,600,4348.76,74202.67,29,17,135,329,271,1
37,4,126,599.12,10297.3,1,11,16,76,50,1
31,2,111,582.52,7135.87,0,14,24,69,42,1
78,9,0,0,0,0,0,0,0,0,1
8,1,16,50.72,142.01,0,4,5,9,7,1
24,2,0,0,0,0,0,0,0,0,1
143,22,0,0,0,0,0,0,0,0,1
73,10,0,0,0,0,0,0,0,0,1
83,11,0,0,0,0,0,0,0,0,1
12,3,37,167.37,1150.68,0,11,12,22,15,1
48,4,129,695.61,12067.3,1,19,23,87,42,1
68,8,0,0,0,0,0,0,0,0,1
138,22,0,0,0,0,0,0,0,0,1
10,1,9,27,54,0,4,4,5,4,1
250,49,1469,9673.31,938311.06,92,32,64,1081,388,1
77,8,284,1160.84,47536.38,0,7,10,167,117,1
85,9,277,1714.58,55961.02,0,26,47,161,118,1
110,17,322,2069.26,69127.22,13,27,59,176,146,1
49,6,171,927.89,23506.58,0,19,24,107,64,1
187,35,526,3296.33,140300.03,1,21,56,299,227,1
27,6,0,0,0,0,0,0,0,0,1
38,8,145,673.36,13824.9,0,9,16,72,73,1
294,43,814,5811.59,237606.8,41,28,113,484,330,1
29,3,88,465.12,5599.99,0,14,25,45,43,1
160,5,698,4862.12,160969.13,11,22,103,388,310,1
94,16,218,1236.59,42683.63,19,22,29,127,91,1
48,3,157,927.38,12140.27,1,16,44,85,72,1
14,2,31,129.27,672.19,1,8,10,18,13,1
32,6,116,595,9916.61,0,14,21,66,50,1
11,1,9,27,54,0,4,4,5,4,1
20,3,31,118.03,1062.25,4,9,5,21,10,1
39,1,0,0,0,0,0,0,0,0,1
63,21,0,0,0,0,0,0,0,0,1
78,6,192,1072.31,30254.54,6,20,28,113,79,1
209,26,0,0,0,0,0,0,0,0,1
6,2,21,82.04,492.27,0,10,5,15,6,1
44,13,0,0,0,0,0,0,0,0,1
24,3,52,224.74,3756.37,0,13,7,34,18,1
23,2,51,233.83,1403,0,9,15,31,20,1
69,6,0,0,0,0,0,0,0,0,1
148,19,516,3223.93,111762.93,7,19,57,308,208,1
83,20,226,1300.6,43166.62,7,25,29,149,77,1
53,4,106,539.27,8012.03,7,13,21,58,48,1
97,15,0,0,0,0,0,0,0,0,1
25,2,71,355,2292.07,3,9,23,38,33,1
466,110,0,0,0,0,0,0,0,0,1
110,27,0,0,0,0,0,0,0,0,1
113,19,491,3179.59,144343.07,9,26,63,271,220,1
119,9,300,1862.84,46500.6,21,21,53,174,126,1
15,3,47,215.49,1939.44,0,12,12,29,18,1
44,10,0,0,0,0,0,0,0,0,1
124,55,0,0,0,0,0,0,0,0,1
8,1,15,51.89,151.35,0,5,6,8,7,1
8,1,15,51.89,151.35,0,5,6,8,7,1
162,27,0,0,0,0,0,0,0,0,1
113,27,445,2829.11,117259.19,0,25,57,256,189,1
8,1,15,51.89,151.35,0,5,6,8,7,1
8,1,14,46.51,139.52,0,5,5,8,6,1
9,2,17,62.91,256.87,0,7,6,10,7,1
179,36,0,0,0,0,0,0,0,0,1
171,16,644,4230.99,144911.31,8,19,76,370,274,1
77,15,273,1656.04,29873.71,4,16,51,158,115,1
53,4,106,539.27,8012.03,7,13,21,58,48,1
97,15,0,0,0,0,0,0,0,0,1
25,2,71,355,2292.07,3,9,23,38,33,1
466,110,0,0,0,0,0,0,0,0,1
110,27,0,0,0,0,0,0,0,0,1
113,19,491,3179.59,144343.07,9,26,63,271,220,1
119,9,300,1862.84,46500.6,21,21,53,174,126,1
15,3,47,215.49,1939.44,0,12,12,29,18,1
44,10,0,0,0,0,0,0,0,0,1
124,55,0,0,0,0,0,0,0,0,1
8,1,15,51.89,151.35,0,5,6,8,7,1
8,1,15,51.89,151.35,0,5,6,8,7,1
162,27,0,0,0,0,0,0,0,0,1
113,27,445,2829.11,117259.19,0,25,57,256,189,1
8,1,15,51.89,151.35,0,5,6,8,7,1
8,1,14,46.51,139.52,0,5,5,8,6,1
30,5,100,545.94,11464.81,1,22,22,58,42,1
146,15,423,2658.73,114716.17,23,27,51,260,163,1
127,16,462,3042.25,127774.61,3,28,68,258,204,1
85,18,350,2083.96,91475.26,3,24,38,211,139,1
28,5,98,528.45,10568.94,0,21,21,58,40,1
21,4,0,0,0,0,0,0,0,0,1
127,23,323,2081.07,76123.38,31,30,57,184,139,1
45,12,160,813.99,23153.61,1,16,18,96,64,1
31,3,87,438.86,4764.79,0,12,21,49,38,1
11,3,39,165.67,1936.26,0,11,8,22,17,1
28,6,0,0,0,0,0,0,0,0,1
61,8,99,465.34,11422.07,24,15,11,63,36,1
12,2,16,59.21,241.76,0,7,6,9,7,1
20,6,0,0,0,0,0,0,0,0,1
45,9,0,0,0,0,0,0,0,0,0
9,3,22,83.76,678.47,0,9,5,13,9,0
9,3,23,89.86,808.73,0,10,5,14,9,0
13,2,29,113.3,693.96,0,7,8,15,14,0
12,2,29,113.3,693.96,0,7,8,15,14,0
13,1,37,148,799.2,0,6,10,19,18,0
28,9,77,366.13,6407.21,1,15,12,49,28,0
13,1,37,148,799.2,0,6,10,19,18,0
26,8,69,324.33,5528.36,1,15,11,44,25,0
13,1,37,148,799.2,0,6,10,19,18,0
22,6,53,243,3847.55,1,15,9,34,19,0
13,1,37,148,799.2,0,6,10,19,18,0
20,5,45,203.56,3053.4,1,15,8,29,16,0
19,4,36,152.93,1704.03,0,12,7,23,13,0
47,5,113,609.33,12463.61,9,20,22,68,45,0
47,5,113,609.33,12463.61,9,20,22,68,45,0
16,2,29,113.3,693.96,3,7,8,15,14,0
66,8,190,1043.45,30051.42,9,20,25,118,72,0
68,8,190,1043.45,30051.42,9,20,25,118,72,0
12,3,26,98.99,1113.65,0,10,4,17,9,0
17,6,0,0,0,0,0,0,0,0,0
15,4,0,0,0,0,0,0,0,0,0
16,2,48,217.13,1791.33,1,11,12,30,18,0
21,2,72,338.43,3771.1,1,12,14,46,26,0
15,2,48,217.13,1791.33,1,11,12,30,18,0
21,3,70,340.06,4126.05,0,14,15,44,26,0
20,4,60,275.1,3851.37,0,14,10,40,20,0
16,2,48,217.13,1791.33,1,11,12,30,18,0
50,4,176,863.61,38214.86,0,18,12,117,59,0
16,2,48,217.13,1791.33,1,11,12,30,18,0
46,6,68,319.63,5448.24,6,15,11,43,25,0
16,2,48,217.13,1791.33,1,11,12,30,18,0
13,4,42,178.41,1284.57,0,9,10,26,16,0
12,4,35,143.06,643.78,0,9,8,27,8,0
17,2,33,144.95,1352.83,3,12,9,19,14,0
16,2,36,155.59,1750.38,3,12,8,21,15,0
16,2,36,155.59,1750.38,3,12,8,21,15,0
15,3,46,191.82,2712.83,2,11,7,28,18,0
36,7,81,408.6,6729.82,1,16,17,46,35,0
34,4,60,267.57,3612.14,3,11,11,33,27,0
4,1,13,44.97,179.89,0,8,3,10,3,0
34,4,60,267.57,3612.14,3,11,11,33,27,0
14,2,26,104,1029.59,3,11,5,17,9,0
25,3,60,305.25,2670.92,3,14,20,35,25,0
28,6,0,0,0,0,0,0,0,0,0
6,1,12,39.86,99.66,0,5,5,7,5,0
70,8,212,1196.5,24963.29,15,17,33,131,81,0
34,4,80,388.64,4262.88,4,13,16,53,27,0
27,3,97,512.67,5383.18,0,13,26,55,42,0
66,13,206,1162.63,37910.19,0,22,28,123,83,0
21,3,0,0,0,0,0,0,0,0,0
27,3,61,299.32,3273.82,0,14,16,36,25,0
18,2,69,324.33,4162.24,0,14,12,47,22,0
67,3,235,1393.72,25905.07,0,10,37,76,74,0
32,5,144,781.38,18846.94,0,18,25,77,67,0
37,3,264,1466.41,30588.43,1,15,32,175,89,0
56,8,152,808.93,16016.87,6,15,25,86,66,0
26,6,90,437.22,9147.95,0,16,13,63,34,0
14,4,48,172.08,3097.41,0,8,4,30,18,0
20,2,56,260.06,2554.12,2,11,14,31,25,0
20,3,68,340,3264,0,12,20,36,32,0
151,7,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0
10,1,21,69.76,232.53,2,4,6,11,10,0
79,8,222,1289.23,50838.75,8,26,30,131,91,0
84,13,0,0,0,0,0,0,0,0,0
