loc,v(g),n,v,e,lOComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,defects
1.1,1.4,1.3,1.3,1.3,2,1.2,1.2,1.2,1.2,0
1,1,1,1,1,1,1,1,1,1,1
72,7,198,1134.13,23029.1,10,17,36,112,86,1
190,3,600,4348.76,74202.67,29,17,135,329,271,1
37,4,126,599.12,10297.3,1,11,16,76,50,1
31,2,111,582.52,7135.87,0,14,24,69,42,1
78,9,0,0,0,0,0,0,0,0,1
8,1,16,50.72,142.01,0,4,5,9,7,1
24,2,0,0,0,0,0,0,0,0,1
143,22,0,0,0,0,0,0,0,0,1
73,10,0,0,0,0,0,0,0,0,1
83,11,0,0,0,0,0,0,0,0,1
12,3,37,167.37,1150.68,0,11,12,22,15,1
48,4,129,695.61,12067.3,1,19,23,87,42,1
68,8,0,0,0,0,0,0,0,0,1
138,22,0,0,0,0,0,0,0,0,1
10,1,9,27,54,0,4,4,5,4,1
250,49,1469,9673.31,938311.06,92,32,64,1081,388,1
77,8,284,1160.84,47536.38,0,7,10,167,117,1
85,9,277,1714.58,55961.02,0,26,47,161,118,1
110,17,322,2069.26,69127.22,13,27,59,176,146,1
49,6,171,927.89,23506.58,0,19,24,107,64,1
187,35,526,3296.33,140300.03,1,21,56,299,227,1
27,6,0,0,0,0,0,0,0,0,1
38,8,145,673.36,13824.9,0,9,16,72,73,1
294,43,814,5811.59,237606.8,41,28,113,484,330,1
29,3,88,465.12,5599.99,0,14,25,45,43,1
160,5,698,4862.12,160969.13,11,22,103,388,310,1
94,16,218,1236.59,42683.63,19,22,29,127,91,1
48,3,157,927.38,12140.27,1,16,44,85,72,1
14,2,31,129.27,672.19,1,8,10,18,13,1
32,6,116,595,9916.61,0,14,21,66,50,1
11,1,9,27,54,0,4,4,5,4,1
20,3,31,118.03,1062.25,4,9,5,21,10,1
39,1,0,0,0,0,0,0,0,0,1
63,21,0,0,0,0,0,0,0,0,1
78,6,192,1072.31,30254.54,6,20,28,113,79,1
209,26,0,0,0,0,0,0,0,0,1
6,2,21,82.04,492.27,0,10,5,15,6,1
44,13,0,0,0,0,0,0,0,0,1
24,3,52,224.74,3756.37,0,13,7,34,18,1
23,2,51,233.83,1403,0,9,15,31,20,1
69,6,0,0,0,0,0,0,0,0,1
148,19,516,3223.93,111762.93,7,19,57,308,208,1
83,20,226,1300.6,43166.62,7,25,29,149,77,1
53,4,106,539.27,8012.03,7,13,21,58,48,1
97,15,0,0,0,0,0,0,0,0,1
25,2,71,355,2292.07,3,9,23,38,33,1
466,110,0,0,0,0,0,0,0,0,1
110,27,0,0,0,0,0,0,0,0,1
113,19,491,3179.59,144343.07,9,26,63,271,220,1
119,9,300,1862.84,46500.6,21,21,53,174,126,1
15,3,47,215.49,1939.44,0,12,12,29,18,1
44,10,0,0,0,0,0,0,0,0,1
124,55,0,0,0,0,0,0,0,0,1
8,1,15,51.89,151.35,0,5,6,8,7,1
8,1,15,51.89,151.35,0,5,6,8,7,1
162,27,0,0,0,0,0,0,0,0,1
113,27,445,2829.11,117259.19,0,25,57,256,189,1
8,1,15,51.89,151.35,0,5,6,8,7,1
8,1,14,46.51,139.52,0,5,5,8,6,1
9,2,17,62.91,256.87,0,7,6,10,7,1
179,36,0,0,0,0,0,0,0,0,1
171,16,644,4230.99,144911.31,8,19,76,370,274,1
77,15,273,1656.04,29873.71,4,16,51,158,115,1
8,1,15,51.89,151.35,0,5,6,8,7,1
12,4,40,183.4,1467.19,0,12,12,24,16,1
42,9,135,708.47,10538.49,6,17,30,116,74,1
14,1,79,346.99,1592.09,0,4,17,40,39,1
19,5,62,267.96,5627.15,0,12,8,34,28,1
88,8,250,1372.96,45651.03,19,21,24,174,76,1
13,2,50,235.02,995.75,0,7,19,27,23,1
46,4,80,396.34,4723,1,13,18,47,33,1
129,30,402,2583.36,119927.45,1,34,52,260,142,1
20,1,0,0,0,0,0,0,0,0,1
22,1,107,508.77,6135.2,0,10,17,66,41,1
32,2,157,851.92,10396.13,3,11,32,86,71,1
13,1,45,171.33,2467.17,0,9,5,29,16,1
12,3,22,88,733.33,0,10,6,12,10,1
6,1,11,34.87,108.97,0,5,4,6,5,1
17,3,28,109.39,812.63,1,8,7,15,13,1
5,1,15,53.77,225.85,0,7,5,9,6,1
227,55,0,0,0,0,0,0,0,0,1
68,5,309,1725.75,55302.55,1,15,32,167,140,1
37,4,73,371.38,3769.56,6,14,20,44,29,1
106,12,288,1759.26,61473.97,17,25,44,165,123,1
18,1,18,72,237.6,0,6,10,7,11,1
100,11,277,1636.21,46222.9,17,20,40,164,113,1
99,14,277,1802.66,47150.8,4,27,64,153,124,1
53,6,176,942.93,28502.18,2,19,22,106,70,1
4,1,10,30,60,0,4,4,6,4,1
4,1,10,30,60,0,4,4,6,4,1
4,1,10,30,60,0,4,4,6,4,1
4,1,10,30,60,0,4,4,6,4,1
4,1,10,30,60,0,4,4,6,4,1
50,5,0,0,0,0,0,0,0,0,1
14,3,21,82.04,656.36,2,10,5,13,8,1
11,2,30,120,1100,0,10,6,19,11,1
174,15,448,3020.18,74486,28,21,86,246,202,1
33,4,98,485.51,5201.91,0,10,21,53,45,1
4,1,8,24,60,0,5,3,5,3,1
13,2,59,236,1840.8,0,6,10,33,26,1
135,11,352,2317.91,43059.58,14,18,78,191,161,1
49,6,137,760.98,18080.85,0,22,25,83,54,1
45,6,226,1268.92,34716.98,1,17,32,123,103,1
65,4,0,0,0,0,0,0,0,0,1
40,5,131,723.59,16913.84,0,22,24,80,51,1
59,7,195,1089.07,22476.1,13,19,29,132,63,1
31,4,107,576.98,11828.05,0,21,21,66,41,1
45,9,195,1094.87,31713.43,4,20,29,111,84,1
31,6,69,338.58,5030.26,3,16,14,43,26,1
28,2,75,339.27,5181.53,8,12,11,47,28,1
49,3,121,639.53,13343,2,17,22,67,54,1
30,5,100,545.94,11464.81,1,22,22,58,42,1
146,15,423,2658.73,114716.17,23,27,51,260,163,1
127,16,462,3042.25,127774.61,3,28,68,258,204,1
85,18,350,2083.96,91475.26,3,24,38,211,139,1
28,5,98,528.45,10568.94,0,21,21,58,40,1
21,4,0,0,0,0,0,0,0,0,1
127,23,323,2081.07,76123.38,31,30,57,184,139,1
45,12,160,813.99,23153.61,1,16,18,96,64,1
31,3,87,438.86,4764.79,0,12,21,49,38,1
11,3,39,165.67,1936.26,0,11,8,22,17,1
28,6,0,0,0,0,0,0,0,0,1
61,8,99,465.34,11422.07,24,15,11,63,36,1
12,2,16,59.21,241.76,0,7,6,9,7,1
20,6,0,0,0,0,0,0,0,0,1
28,3,95,502.11,6186.03,0,14,25,51,44,1
55,4,73,330.22,10567.04,3,16,7,45,28,1
38,6,75,339.27,7916.23,2,14,9,45,30,1
14,10,97,396.48,17128.1,0,12,5,61,36,1
142,11,128,651.2,24187.25,72,20,14,76,52,1
29,3,95,502.11,6186.03,0,14,25,51,44,1
15,2,19,70.31,369.12,4,7,6,10,9,1
54,5,116,574.69,19097.28,5,18,13,68,48,1
105,6,0,0,0,0,0,0,0,0,1
29,3,52,238.42,1645.08,9,9,15,29,23,1
15,3,0,0,0,0,0,0,0,0,1
24,4,48,222.91,1253.84,5,9,16,28,20,1
25,4,50,235.02,1306.45,5,9,17,29,21,1
88,14,364,2215.84,111794.23,0,26,42,201,163,1
116,13,292,1909.43,43717.5,5,26,67,174,118,1
71,5,223,1338,21503.57,1,15,49,118,105,1
87,10,0,0,0,0,0,0,0,0,1
19,2,43,188.87,1631.15,1,10,11,24,19,1
99,9,260,1577.18,45774.99,14,24,43,156,104,1
84,8,205,1195.74,32355.38,14,23,34,125,80,1
77,10,269,1459.67,44979.31,19,16,27,165,104,1
139,20,349,2061.5,132580.53,35,28,32,202,147,1
37,5,143,721.35,13396.47,2,12,21,78,65,1
29,3,97,485,5641.32,4,13,19,63,34,1
20,3,41,180.09,1680.79,0,12,9,27,14,1
31,3,105,534.18,6283.02,4,13,21,67,38,1
34,5,91,427.74,9410.28,3,13,13,47,44,1
62,6,169,953.81,17443.19,4,17,33,98,71,1
132,31,1229,7582.84,691554.81,43,27,45,925,304,1
18,4,0,0,0,0,0,0,0,0,1
68,4,137,792.05,7845.03,15,13,42,73,64,1
4,1,7,19.65,39.3,0,4,3,4,3,1
22,1,27,110.36,463.52,5,7,10,15,12,1
10,2,20,78.14,351.62,0,9,6,14,6,1
